PropertyName,MSA,Address,city,State,Zipcode
Budget Store & Lock Self Storage,Allentown-Bethlehem,,,,
East Penn Self Storage,Allentown-Bethlehem,,,,
SecurCare Self Storage,Atlanta,,,,
U-Haul,Atlanta,,,,
SecurCare Self Storage,Augusta,,,,
Storage Sense,Augusta,,,,
Stor Self Storage,Austin,,,,
U-Haul,Austin,,,,
Self Storage Plus,Baltimore,,,,
U-Haul,Baltimore,,,,
Red Dot Storage,Baton Rouge,,,,
Tellus Self Storage,Baton Rouge,,,,
Secruity Public Storage,Bay Area,,,,
StorQuest Self Storage,Bay Area,,,,
Metro Mini Storage,Birmingham,,,,
U-Haul,Birmingham,,,,
Republic Storage,Boise,,,,
Stor - It Self Storage,Boise,,,,
Prime Storage,Boston,,,,
U-Haul,Boston,,,,
Prime Storage,Bridgeport-New Haven,,,,
Stroage Rentals of America,Bridgeport-New Haven,,,,
Storage Post,Bronx,,,,
Safeguard Self Storage,Brooklyn,,,,
Stop & Stor,Brooklyn,,,,
Eagle Self Storage,Buffalo,,,,
LocalStorage,Buffalo,,,,
iStorage,Central Coast,,,,
U-Haul,Central Coast,,,,
Derrel's Mini Storage,Central Valley,,,,
StorQuest Self Storage,Central Valley,,,,
Morningstar Storage,Charleston,,,,
SafeNest Storage,Charleston,,,,
Morningstar Storage,Charlotte,,,,
U-Haul,Charlotte,,,,
AAA Mini Storage,Chattanooga,,,,
Boardwalk Storage,Chattanooga,,,,
Compass Self Storage,Cincinnati,,,,
iStorage,Cincinnati,,,,
Storage Rentals of America,Cleveland-Akron,,,,
U-Haul,Cleveland-Akron,,,,
SecurCare Self Storage,Colorado Springs,,,,
Security Self Storage,Colorado Springs,,,,
Airport Self Storage,Columbia,,,,
Storage Rentals of America,Columbia,,,,
Affordable Mini Storage,Corpus Christi,,,,
Safeguard / Safeguard Mini Storage,Corpus Christi,,,,
Great Value Storage,Dayton,,,,
iStorage,Dayton,,,,
Guardian Storage,Denver,,,,
StorQuest Self Storage,Denver,,,,
LockBox Storage,Des Moines,,,,
StorageMart,Des Moines,,,,
iStorage,Detroit,,,,
National Storage Centers,Detroit,,,,
Northwest Self Storage,Eugene,,,,
U - Store Self Storage,Eugene,,,,
SecurCare Self Storage,Fayetteville,,,,
Storage King USA,Fayetteville,,,,
Stor - A - Way,Fort Wayne,,,,
Storage Rentals of America,Fort Wayne,,,,
Devon Self Storage,Grand Rapids,,,,
National Storage Centers,Grand Rapids,,,,
Prime Storage,Greenville,,,,
Storage Rentals of America,Greenville,,,,
Storage Depot,Harrisburg,,,,
Storage Sense,Harrisburg,,,,
Hawai‘i Self Storage,Honolulu,,,,
StorQuest Self Storage,Honolulu,,,,
Great Value Storage,Houston,,,,
U-Haul,Houston,,,,
iStorage,Huntsville,,,,
Storage Sense,Huntsville,,,,
Storage Express,Indianapolis,,,,
U - Stor Self Storage,Indianapolis,,,,
StorageMAX,Jackson,,,,
Tellus Self Storage,Jackson,,,,
Atlantic Self Storage,Jacksonville,,,,
U-Haul,Jacksonville,,,,
iStorage,Kansas City,,,,
StorageMart,Kansas City,,,,
iStorage,Knoxville,,,,
Mini Sotrage Depot,Knoxville,,,,
Foxes Den Self Storage,Lafayette,,,,
Simply Self Storage,Lafayette,,,,
SpareBox,Lansing-Ann Arbor,,,,
U-Haul,Lansing-Ann Arbor,,,,
All Storage,Las Vegas,,,,
SmartStop Self Storage,Las Vegas,,,,
Space Center Storage,Lexington,,,,
Storage Rental of America,Lexington,,,,
Prime Storage,Long Island,,,,
U-Haul,Long Island,,,,
Red Dot Storage,Louisville,,,,
Stor All,Louisville,,,,
FreeUp Storage,Macon,,,,
iStorage,Macon,,,,
FreeUp Storage,Madison,,,,
Lakestone Storage,Madison,,,,
Devon Self Storage,Memphis,,,,
Simply Self Storage,Memphis,,,,
StorageMart,Milwaukee,,,,
U-Haul,Milwaukee,,,,
East Bay Mini Storage,Mobile,,,,
Red Dot Storage,Mobile,,,,
iStorage,Nashville,,,,
StorPlace Self Storage,Nashville,,,,
Access Self Storage,New Jersey,,,,
StorageBlue,New Jersey,,,,
Liberty Self Storage,New Orleans,,,,
Southern Self Storage,New Orleans,,,,
All Aboard Storage,North Central Florida,,,,
Neighborhood Storage Center,North Central Florida,,,,
Self Storage Plus,Northern Virginia,,,,
U-Haul,Northern Virginia,,,,
SecurCare Self Storage,Oklahoma City,,,,
Simply Self Storage,Oklahoma City,,,,
Armor Storage,Omaha,,,,
StorageMart,Omaha,,,,
Simply Self Storage,Orlando,,,,
U-Haul,Orlando,,,,
Move It Self Storage,Pensacola,,,,
Southern Self Storage,Pensacola,,,,
iStorage,Philadelphia,,,,
Metro Self Storage,Philadelphia,,,,
StorQuest Self Storage,Phoenix,,,,
U-Haul,Phoenix,,,,
Guardian Storage,Pittsburgh,,,,
STORExpress Self Storage,Pittsburgh,,,,
Northwest Self Storage,Portland,,,,
West Coast Self - Storage,Portland,,,,
All American Self Storage,Portland (ME),,,,
Prime Storage,Portland (ME),,,,
Prime Storage,Providence,,,,
U-Haul,Providence,,,,
Safeguard Self Storage,Queens,,,,
Stop & Stor,Queens,,,,
10 Federal Self Storage,Raleigh-Durham,,,,
Ample Storage,Raleigh-Durham,,,,
StorQuest Self Storage,Reno,,,,
StorWise Self Storage,Reno,,,,
Rancho Storage Center,Richland-Kennewick-Pasco,,,,
Secuirty Mini Storage,Richland-Kennewick-Pasco,,,,
AAAA Self Storage,Richmond-Tidewater,,,,
Jack Rabbit Self Storage,Richmond-Tidewater,,,,
Sentry Storage,Sacramento,,,,
StorQuest Self Storage,Sacramento,,,,
Stor'em Self Storage,Salt Lake City,,,,
Towne Storage,Salt Lake City,,,,
A - AAA Key Mini Storage,San Antonio,,,,
Lockaway Storage,San Antonio,,,,
A - 1 Self Storage,San Diego,,,,
U-Haul,San Diego,,,,
Security Public Storage,San Francisco - Peninsula,,,,
StorQuest Self Storage,San Francisco - Peninsula,,,,
SecurCare Self Storage,Savannah - Hilton Head,,,,
Stop N Stor,Savannah - Hilton Head,,,,
Close 2U Storage,Scranton-Wilkes-Barre,,,,
U-Haul,Scranton-Wilkes-Barre,,,,
StorQuest Self Storage,Seattle,,,,
U-Haul,Seattle,,,,
Hide-Away Storage,Southwest Florida Coast,,,,
iStorage,Southwest Florida Coast,,,,
Secure It Self Storage,Spokane,,,,
Storage Solutions,Spokane,,,,
iStorage,St. Louis,,,,
U-Haul,St. Louis,,,,
Keepers Self Storage,Staten Island,,,,
Stop & Stor,Staten Island,,,,
AllStorage,Syracuse,,,,
B&C Storage,Syracuse,,,,
Express Storage,Tacoma,,,,
U-Haul,Tacoma,,,,
Storage King USA,Tallahassee,,,,
Storage Zone Self Storage,Tallahassee,,,,
StorQuest Self Storage,Tampa-St. Petersburg-Clearwater,,,,
U-Haul,Tampa-St. Petersburg-Clearwater,,,,
Aspen Mini Storage,Tulsa,,,,
SecurCare Self Storage,Tulsa,,,,
A Family Discount Storage,Tuscon,,,,
Storage King USA,Tuscon,,,,
Acorn Mini Storage,Twin Cities,,,,
KO Storage,Twin Cities,,,,
iStorage,Washington D.C. & Suburban Maryland,,,,
Self Storage Plus,Washington D.C. & Suburban Maryland,,,,
SmartStop Self Storage,West Palm Beach - Boca Raton,,,,
Storage Rentals of America,West Palm Beach - Boca Raton,,,,
Guardian Self Storage,White Plains,,,,
Westy Self Storage,White Plains,,,,
Blue Sky Self Storage,Wichita,,,,
U-Stor Self Storage,Wichita,,,,
Go Store It,Wilmington,,,,
SecurCare Self Storage,Wilmington,,,,
AAA Self Storage,Winston-Salem - Greensboro,,,,
American Flag Self Storage,Winston-Salem - Greensboro,,,,
Moove In Self Storage,Worcester - Springfield,,,,
U-Haul,Worcester - Springfield,,,,
